Nr;Wahlkreis;Name;Wahlb. ohne Sperrv.;Wahlb. mit Sperrv.;Wahlb. insges.;Wähler;dav. mit Wahlschein;Ungült. Stimmzettel;Gültige Stimmen;DIE LINKE;Sozialdemokratische Partei Deutschlands;Christlich Demokratische Union Deutschlands;BÜNDNIS 90/DIE GRÜNEN;DIE aNDERE;Bürgerbündnis freier Wähler e.V.;Alternative für Deutschland;Freie Demokratische Partei;Brandenburger Vereinigte Bürgerbewegungen / Freie Wähler;Charnow;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative
6203;5;Teltower Vorstadt - Siedlung Eigenheim;1002;232;1234;696;0;9;2038;365;437;210;327;208;49;301;111;30;0;0
6304;5;Schlaatz - H.-Muthesius-Str./Binsenhof;802;83;885;281;0;13;791;197;136;71;80;55;32;188;23;9;0;0
6401;5;Waldstadt I - Käthe-Kollwitz-Str.;1002;257;1259;522;0;12;1501;286;376;162;177;161;89;169;58;23;0;0
6402;5;Waldstadt I -Am Stadtrand/Industriegelän;854;134;988;412;1;6;1205;245;296;85;118;133;53;224;30;21;0;0
6501;5;Waldstadt II - Zum Kahleberg;1259;237;1496;601;2;14;1731;457;360;156;179;173;66;264;67;9;0;0
9064;5;Potsdam Briefwahlbezirk 9064;0;0;0;896;896;9;2651;534;583;280;438;315;83;266;113;39;0;0
9068;5;Potsdam Briefwahlbezirk 9068;0;0;0;500;500;3;1447;383;313;133;169;170;32;187;51;9;0;0
7102;6;Stern - Lilienthalstr.;1031;150;1181;474;1;13;1372;479;232;117;119;85;36;252;33;11;8;0
7103;6;Stern - Fichtenallee/Im Schäferfeld;1045;165;1210;516;0;15;1474;524;247;140;184;62;38;227;39;8;5;0
7108;6;Stern - Leibnizring;704;110;814;252;0;7;718;264;134;50;79;36;28;94;25;5;3;0
7109;6;Stern - Niels-Bohr-Ring;716;95;811;317;1;5;927;314;205;63;80;47;18;164;29;6;1;0
7110;6;Stern - Otto-Hahn-Ring;819;111;930;286;1;15;801;287;154;60;74;40;25;127;16;7;11;0
7112;6;Stern - Gaußstr./Sternstr.;803;115;918;240;1;8;681;238;145;29;60;23;12;143;20;10;1;0
7203;6;Drewitz - Paul-Wegener-Str./Priesterweg;679;77;756;232;0;6;677;203;133;47;74;38;33;126;11;5;7;0
7304;6;Kirchsteigfeld - Pierre-de-Gayette-Str.;566;90;656;283;0;3;831;242;160;58;110;51;44;115;29;9;13;0
9071;6;Potsdam Briefwahlbezirk 9071;0;0;0;595;595;4;1724;599;277;240;191;59;50;199;76;17;16;0
9073;6;Potsdam Briefwahlbezirk 9073;0;0;0;457;457;5;1356;475;252;161;120;75;49;173;37;7;7;0
9074;6;Potsdam Briefwahlbezirk 9074;0;0;0;447;447;4;1328;384;328;142;168;73;42;114;59;12;6;0
0;0;Kommunalwahl 2019 SVV Potsdam;115822;25621;141443;88055;23837;1124;258636;46761;49898;32078;48739;26754;10124;24508;12620;2985;214;3955
2101;1;Nauener Vorstadt - Bertiniweg/Glumestr.;793;306;1099;527;3;2;1562;140;204;249;395;86;78;134;228;21;0;27
2301;1;Berliner Vorstadt - Ludwig-Richter-Str.;961;293;1254;608;5;3;1803;126;275;477;375;70;42;162;263;3;0;10
2302;1;Berliner Vorstadt - Schiffbauergasse;780;286;1066;550;2;4;1614;187;270;280;386;139;55;105;133;13;0;46
4102;1;Innenstadt - Kurfürstenstr.;1016;320;1336;625;0;4;1852;192;322;269;486;219;72;116;121;14;0;41
4106;1;Innenstadt - Alter Markt/Wall am Kiez;801;226;1027;387;0;6;1134;209;157;141;238;104;27;126;78;15;0;39
4109;1;Innenstadt - Bassinplatz;958;284;1242;501;3;4;1478;240;357;141;287;172;29;107;90;8;0;47
4205;1;Südliche Innenstadt - Hauptbahnhof;1262;394;1656;598;5;4;1774;306;298;171;426;265;33;83;95;22;0;75
8604;1;Groß Glienicke - An der Kirche;817;135;952;391;3;3;1151;125;237;239;163;30;34;155;46;96;0;26
9037;1;Potsdam Briefwahlbezirk 9037;0;0;0;493;493;3;1467;277;245;134;383;151;36;89;89;15;0;48
1101;2;Bornim - Max-Eyth-Allee/Lerchensteig;963;189;1152;510;1;5;1500;171;301;246;196;107;188;195;69;27;0;0
1302;2;Bornstedt - Fliederweg;979;209;1188;626;3;5;1854;277;411;256;304;211;89;188;102;16;0;0
1304;2;Bornstedt - Kirschallee/Thaerstr.;974;295;1269;628;3;8;1848;202;372;360;303;157;98;173;169;14;0;0
2201;2;Jägervorstadt - Am Ruinenberg;916;276;1192;577;0;7;1694;171;351;255;411;139;51;152;154;10;0;0
2202;2;Jägervorstadt - Am Weinberg/Ulanenweg;968;275;1243;639;1;8;1893;183;418;269;497;205;64;142;106;9;0;0
8101;2;Uetz-Paaren;305;71;376;194;0;3;565;38;99;62;36;55;141;117;12;5;0;0
8301;2;Satzkorn;292;61;353;205;0;3;595;87;164;55;61;28;98;79;19;4;0;0
8403;2;Fahrland - An der Jubelitz;775;104;879;358;0;11;1024;147;212;142;148;39;67;176;56;37;0;0
8404;2;Fahrland - Kietzer Str./Pastor-Moritz-St;1066;163;1229;455;2;12;1320;197;260;153;187;84;97;239;68;35;0;0
9041;2;Potsdam Briefwahlbezirk 9041;0;0;0;628;628;3;1871;288;341;340;371;167;102;123;118;21;0;0
9045;2;Potsdam Briefwahlbezirk 9045;0;0;0;503;503;9;1482;218;306;266;335;144;51;65;90;7;0;0
1501;3;Eiche - Altes Rad Ost;852;282;1134;561;5;2;1665;239;394;291;331;91;36;168;70;14;0;31
1503;3;Eiche - Altes Rad West/Lindstedter Str.;980;221;1201;584;1;8;1715;295;424;282;350;81;38;140;37;14;0;54
1702;3;Golm - Geiselbergstr./Am Mühlenberg;897;192;1089;531;2;12;1539;171;291;302;329;81;92;177;44;20;0;32
1703;3;Golm - Grasmückenring/An der Bahn;468;117;585;295;0;2;878;106;150;153;144;85;65;111;31;5;0;28
3103;3;Brandenburger Vorstadt - Clara-Zetkin-S.;896;245;1141;563;0;9;1649;258;241;169;440;343;18;54;45;11;0;70
3105;3;Brandenburger Vorstadt - Park Sanssouci;947;317;1264;699;0;3;2083;321;348;165;527;461;33;94;53;11;0;70
3201;3;Potsdam West - Geschwister-Scholl-Str.;950;253;1203;566;0;4;1683;271;319;153;344;388;20;89;38;8;0;53
3205;3;Potsdam West - Im Bogen/Am Wildpark;995;274;1269;652;0;8;1923;299;453;252;355;252;43;139;66;17;0;47
9048;3;Potsdam Briefwahlbezirk 9048;0;0;0;419;419;3;1235;254;275;176;246;77;29;86;52;10;0;30
9051;3;Potsdam Briefwahlbezirk 9051;0;0;0;656;656;0;1941;327;354;232;419;326;37;90;67;15;0;74
9053;3;Potsdam Briefwahlbezirk 9053;0;0;0;667;667;5;1948;316;350;199;485;347;34;97;55;15;0;50
4204;4;Zentrum Ost - Humboldtring Ost/Wiesenstr;1202;208;1410;584;0;18;1659;345;507;170;165;126;37;191;55;14;0;49
5201;4;Babelsberg Nord - Klein Glienicke;782;223;1005;525;0;5;1560;134;258;192;494;150;50;74;149;9;0;50
5204;4;Babelsberg Nord - Plantagenplatz;935;255;1190;698;0;7;2063;215;321;334;539;258;73;150;112;20;0;41
5206;4;Babelsberg Nord - Alt Nowawes West;837;244;1081;557;3;4;1655;267;259;157;329;370;46;106;52;22;0;47
5301;4;Babelsberg Süd - Neuendorfer Anger;938;236;1174;587;1;7;1732;310;311;130;316;322;60;115;67;30;0;71
5306;4;Babelsberg Süd - Marlene-Dietrich-Allee;922;266;1188;644;4;6;1906;257;368;180;619;125;35;99;156;6;0;61
9058;4;Potsdam Briefwahlbezirk 9058;0;0;0;529;529;1;1573;194;281;213;333;254;73;40;136;13;0;36
9061;4;Potsdam Briefwahlbezirk 9061;0;0;0;637;637;3;1887;341;362;168;349;327;82;102;74;19;0;63
6302;5;Schlaatz - Milanhorst;790;64;854;278;0;10;795;168;195;48;76;75;29;151;33;20;0;0
6303;5;Schlaatz - Erlenhof;992;119;1111;352;1;2;1037;250;224;70;145;77;35;189;22;25;0;0
6305;5;Schlaatz - Inselhof/Bisamkiez;749;75;824;255;3;6;739;200;112;43;114;62;27;162;15;4;0;0
6306;5;Schlaatz - Wiesenhof/Bisamkiez;902;67;969;279;1;8;808;218;151;24;115;69;21;160;27;23;0;0
6307;5;Schlaatz - Wieselkiez;772;61;833;256;3;4;742;173;136;46;110;56;28;167;11;15;0;0
6404;5;Waldstadt I - Bertolt-Brecht-Str.;1483;280;1763;744;3;15;2164;450;527;274;238;136;76;310;116;37;0;0
6502;5;Waldstadt II - Ginsterweg;1032;145;1177;402;1;6;1169;257;241;112;139;61;51;250;39;19;0;0
6503;5;Waldstadt II - Kiefernring/Sonnentaustr.;870;163;1033;384;1;5;1121;280;172;105;155;98;44;218;27;22;0;0
6504;5;Waldstadt II - Saarmunder Str.;1091;157;1248;380;0;10;1092;359;193;82;170;53;39;148;25;23;0;0
