Nr;Wahlkreis;Name;Wahlb. insges.;Wähler;Ungült. Erststimmen;Gültige Erststimmen;Sozialdemokratische Partei Deutschlands;Christlich Demokratische Union Deutschlands;DIE LINKE;Alternative für Deutschland;BÜNDNIS 90/DIE GRÜNEN;Brandenburger Vereinigte Bürgerbewegungen / Freie Wähler;Piratenpartei Deutschland;Freie Demokratische Partei;Ökologisch-Demokratische Partei;PARTEI MENSCH UMWELT TIERSCHUTZ;V-Partei³ – Partei für Veränderung, Vegetarier und Vega;Einzelbewerber Charnow;Einzelbewerberin Ennullat;Einzelbewerber Fuhl;Einzelbewerber Hoffmann;Einzelbewerber Müller;Deutsche Kommunistische Partei;DEUTSCHE KONSERVATIVE;Einzelbewerber Herbig;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;Einzelbewerber Respa;Sonstige
1102;0019;Bornim - Ortslage/Hügelweg;1362;792;8;784;248;145;73;107;136;38;0;32;0;0;0;0;0;0;0;5;0;0;0;0;0;0
7110;0022;Stern - Otto-Hahn-Ring;895;325;6;319;83;17;95;58;31;13;0;10;0;0;0;4;0;0;0;0;0;0;0;8;0;0
1301;0019;Nedlitz, Bornstedt - Viereckremise;1008;535;2;533;140;69;74;69;134;21;0;23;0;0;0;0;0;0;0;3;0;0;0;0;0;0
7205;0022;Drewitz - Willy-A.-Kleinau-Weg;754;264;5;259;71;15;65;68;11;8;0;9;0;0;0;4;0;0;0;0;4;0;0;4;0;0
9062;0022;Potsdam Briefwahlbezirk 9062;0;545;6;539;132;71;116;68;96;20;0;17;0;0;0;5;0;0;0;0;3;0;0;11;0;0
1307;0019;Bornstedt - Jakob-von-Gundling-Str.;1227;617;1;616;196;83;105;61;132;19;0;15;0;0;0;0;0;0;0;5;0;0;0;0;0;0
1309;0019;Bornstedt - A.-Wolff-Platz/E.-Arendt-Str;1742;847;4;843;220;123;105;75;242;29;0;46;0;0;0;0;0;0;0;3;0;0;0;0;0;0
1703;0019;Golm - Grasmückenring/An der Bahn;581;332;3;329;99;57;41;44;72;9;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1505;0019;Werder (Havel), Karl-Hagemeister-Grundsc;860;342;5;337;90;60;40;78;30;23;0;12;0;0;0;0;0;0;0;4;0;0;0;0;0;0
2104;0021;Nauener Vorstadt - Rote Kaserne/SAP;1002;531;1;530;143;91;40;31;164;21;0;27;0;0;0;0;0;0;0;0;0;0;0;13;0;0
4101;0021;Innenstadt - Schopenhauerstr./Jägerallee;1210;671;2;669;200;81;79;44;201;17;0;33;0;0;0;0;0;0;0;0;0;0;0;14;0;0
4103;0021;Innenstadt - Hans-Thoma-Str./Türckstr.;1087;490;6;484;136;46;94;23;148;7;0;11;0;0;0;0;0;0;0;0;0;0;0;19;0;0
4108;0021;Innenstadt - Brandenburger Str. Nord;1178;652;5;647;145;83;91;48;212;18;0;27;0;0;0;0;0;0;0;0;0;0;0;23;0;0
5201;0021;Babelsberg Nord - Klein Glienicke;960;520;4;516;139;73;57;34;158;10;0;34;0;0;0;0;0;0;0;0;0;0;0;11;0;0
5202;0021;Babelsberg Nord - Karl-Marx-Str./Donarst;1160;646;7;639;171;122;59;70;153;14;0;43;0;0;0;0;0;0;0;0;0;0;0;7;0;0
5204;0021;Babelsberg Nord - Plantagenplatz;1178;711;4;707;193;87;78;70;223;17;0;25;0;0;0;0;0;0;0;0;0;0;0;14;0;0
9041;0021;Potsdam Briefwahlbezirk 9041;0;460;2;458;112;72;57;36;114;18;0;38;0;0;0;0;0;0;0;0;0;0;0;11;0;0
6403;0022;Waldstadt I - Bernhard-Kellermann-Str.;1104;540;2;538;166;54;111;112;46;27;0;3;0;0;0;1;0;0;0;0;13;0;0;5;0;0
6507;0022;Waldstadt II - Moosglöckchenweg;980;462;3;459;121;36;108;116;42;8;0;8;0;0;0;0;0;0;0;0;3;0;0;17;0;0
7303;0022;Kirchsteigfeld - Zum Teich/Schinkelstr.;1149;657;2;655;215;102;122;103;53;10;0;28;0;0;0;4;0;0;0;0;0;0;0;18;0;0
9063;0022;Potsdam Briefwahlbezirk 9063;0;661;10;651;162;54;176;127;70;19;0;12;0;0;0;6;0;0;0;0;4;0;0;21;0;0
9065;0022;Potsdam Briefwahlbezirk 9065;0;624;2;622;152;54;192;83;69;21;0;17;0;0;0;3;0;0;0;0;6;0;0;25;0;0
1302;0019;Bornstedt - Fliederweg;1183;635;4;631;196;91;85;94;109;31;0;23;0;0;0;0;0;0;0;2;0;0;0;0;0;0
1305;0019;Bornstedt - Stechlinweg;1323;601;10;591;200;79;92;62;119;22;0;11;0;0;0;0;0;0;0;6;0;0;0;0;0;0
8403;0019;Fahrland - An der Jubelitz;845;373;3;370;89;59;52;86;57;13;0;12;0;0;0;0;0;0;0;2;0;0;0;0;0;0
1501;0019;Eiche - Altes Rad Ost;1101;593;5;588;160;109;71;83;131;13;0;14;0;0;0;0;0;0;0;7;0;0;0;0;0;0
1701;0019;Golm - Ehrenpfortenbergstr.;786;450;7;443;109;81;62;63;92;23;0;11;0;0;0;0;0;0;0;2;0;0;0;0;0;0
8603;0019;Groß Glienicke - Bergstr./Seepromenade;906;508;8;500;136;111;43;50;105;23;0;31;0;0;0;0;0;0;0;1;0;0;0;0;0;0
9072;0019;Potsdam Briefwahlbezirk 9072;0;565;6;559;133;120;87;78;99;22;0;15;0;0;0;0;0;0;0;5;0;0;0;0;0;0
1203;0019;Schwielowsee, OT Caputh, Gebäude Kita;1122;594;7;587;136;97;56;76;123;74;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1510;0019;Werder (Havel), Carl-von-Ossietzky-Obers;904;309;5;304;76;63;61;65;14;20;0;3;0;0;0;0;0;0;0;2;0;0;0;0;0;0
1515;0019;Werder (Havel), OT Bliesendorf, GZ Blies;461;273;4;269;56;95;34;45;12;18;0;7;0;0;0;0;0;0;0;2;0;0;0;0;0;0
1509;0019;Werder (Havel), Horthaus;1027;369;2;367;103;76;33;75;37;23;0;10;0;0;0;0;0;0;0;10;0;0;0;0;0;0
1516;0019;Werder (Havel), OT Glindow, Hort Sunshin;1202;562;12;550;160;128;55;103;57;30;0;15;0;0;0;0;0;0;0;2;0;0;0;0;0;0
1517;0019;Werder (Havel), OT Glindow, Hort Sunshin;1243;565;11;554;132;101;73;125;71;34;0;16;0;0;0;0;0;0;0;2;0;0;0;0;0;0
1518;0019;Werder (Havel), GT Elisabethhöhe, GZ Bli;953;476;7;469;95;104;47;124;44;37;0;16;0;0;0;0;0;0;0;2;0;0;0;0;0;0
1522;0019;Werder (Havel), OT Töplitz, Haus des Bür;778;415;8;407;120;95;29;81;48;21;0;12;0;0;0;0;0;0;0;1;0;0;0;0;0;0
1525;0019;Werder (Havel), OT Derwitz, Gemeindezent;358;205;7;198;42;53;21;53;11;14;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0
