Gemeinde;Gemeindename;Wahlkreisnummer;Gebietsnummer;Gebietsart;Gebietsname;Bezirksnummer;Wahlberechtigte gesamt (A);Wahlberechtigte ohne Wahlschein (A1);Wahlberechtigte mit Wahlschein (A2);Wahlberechtigte nicht im WVZ (A3);Waehler gesamt (B);Waehler ohne Wahlschein;Waehler mit Wahlschein;Urnenwaehler mit Wahlschein in Urnenwahllokal;Briefwaehler mit Wahlschein in Urnenwahllokal;Direktstimmen ungueltige (C);Direktstimmen gueltige (D);D1;D2;D3;D4;D5;D6;D8;D9;D11;D12;D14;D15;D19;D20;D21;D22;D23;Listenstimmen ungueltige (E);Listenstimmen gueltige (F);F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;F13;F14;F15;F16;F17;F18;F19;Column 57
120540000000;Potsdam, Stadt;61;1205400000001305;STIMMBEZIRK;Bornstedt 05;1305;1290;771;519;0;565;565;0;0;0;8;557;68;35;187;48;45;133;10;7;3;2;8;1;1;4;2;0;3;5;560;71;36;143;58;64;127;14;10;7;1;4;3;0;9;2;3;1;2;5;
120540000000;Potsdam, Stadt;61;1205400000001307;STIMMBEZIRK;Bornstedt 07;1307;1145;690;455;0;524;520;4;4;0;4;520;70;35;193;52;43;89;10;5;1;3;8;4;6;1;0;0;0;2;522;67;43;162;71;44;92;11;9;5;2;2;1;0;6;2;0;2;1;2;
120540000000;Potsdam, Stadt;61;1205400000001308;STIMMBEZIRK;Bornstedt 08;1308;998;556;442;0;391;387;4;4;0;2;389;56;38;148;25;23;84;6;2;0;0;4;0;3;0;0;0;0;1;390;60;43;117;26;25;89;8;4;3;0;0;0;0;5;0;1;2;2;5;
120540000000;Potsdam, Stadt;61;1205400000001502;STIMMBEZIRK;Eiche 02;1502;1632;912;720;0;673;669;4;4;0;4;669;51;65;202;72;56;168;13;6;3;6;6;2;10;4;4;1;0;3;670;54;67;152;96;66;164;15;12;8;2;1;5;1;4;5;6;1;2;9;
120540000000;Potsdam, Stadt;61;1205400000001503;STIMMBEZIRK;Eiche 03;1503;1155;694;461;0;556;551;5;5;0;8;548;70;66;179;40;51;117;7;3;0;1;7;0;4;3;0;0;0;6;550;72;66;141;65;54;119;10;6;9;0;0;0;0;6;0;0;0;1;1;
120540000000;Potsdam, Stadt;61;1205400000001601;STIMMBEZIRK;Grube 01;1601;344;229;115;0;182;182;0;0;0;1;181;33;26;44;4;12;43;4;4;0;0;7;1;1;0;0;0;2;2;180;33;24;36;12;19;39;0;4;5;0;0;0;0;7;1;0;0;0;0;
120540000000;Potsdam, Stadt;61;1205400000002101;STIMMBEZIRK;Nauener Vorstadt 01;2101;1055;517;538;0;427;425;2;2;0;3;424;88;29;99;19;66;105;3;6;0;0;4;0;2;3;0;0;0;1;426;89;31;79;28;78;97;6;5;5;1;0;0;0;3;0;0;0;1;3;
120540000000;Potsdam, Stadt;61;1205400000002302;STIMMBEZIRK;Berliner Vorstadt 02;2302;1047;563;484;0;482;482;0;0;0;3;479;64;26;147;24;69;109;8;7;1;2;11;2;2;5;0;0;2;2;480;80;34;132;39;62;91;11;4;9;0;0;0;0;5;1;1;0;4;7;
120540000000;Potsdam, Stadt;61;1205400000003102;STIMMBEZIRK;Brandenburger Vorstadt 02;3102;1021;627;394;0;500;489;11;11;0;6;494;43;23;109;58;40;171;9;2;1;8;12;1;7;9;0;0;1;3;497;45;28;98;69;47;164;10;8;2;0;1;3;0;11;0;1;4;1;5;
120540000000;Potsdam, Stadt;61;1205400000003104;STIMMBEZIRK;Brandenburger Vorstadt 04;3104;1283;879;404;0;640;639;1;1;0;8;632;60;62;281;83;26;80;14;5;1;2;6;0;4;7;1;0;0;10;630;64;66;222;114;26;89;12;11;5;1;0;3;0;6;1;4;1;3;2;
